SEX,Height ,Weight ,Hair length ,Beard,Hijab ,Bald ,Physical Activities ,Cooking ,Own a pet ,Wear Jewelery ,Hair Dye ,Piercing ,Wear Contact Lens ,Gender
0,170,180,3,1,0,0,1,0,0,0,0,0,0,Male
0,184,137,6,1,0,0,1,1,0,0,0,0,0,Male
0,172,158,5,1,0,0,1,0,0,0,0,0,0,Male
0,182,195,5,1,0,0,1,1,0,0,0,0,0,Male
0,175,108,3,1,0,0,0,0,0,0,0,0,0,Male
0,180,160,5,1,0,0,1,0,0,0,0,0,0,Male
0,170,135,3,1,0,0,1,0,0,0,0,0,0,Male
0,174,132,2,1,0,0,1,0,0,0,0,0,0,Male
0,170,108,4,0,0,0,1,0,0,0,0,0,0,Male
0,176,114,5,1,0,0,1,1,0,0,0,0,0,Male
0,175,130,4,1,0,0,1,0,1,0,0,0,0,Male
0,182,145,3,1,0,0,1,0,0,0,0,0,0,Male
1,169,158,28,0,1,0,1,1,1,1,0,1,1,Female
0,182,132,3,1,0,0,1,1,1,0,0,0,0,Male
0,179,125,4,0,0,0,1,0,0,0,0,0,0,Male
0,165,125,2,1,0,0,1,1,0,0,0,0,0,Male
1,160,120,4,0,0,0,0,1,0,1,0,1,0,Female
0,180,171,3,1,0,0,1,0,0,0,0,0,0,Male
1,168,123,20,0,1,0,0,1,0,1,0,1,0,Female
0,167,125,2,1,0,0,1,0,0,0,0,0,0,Male
1,145,103,20,0,0,0,0,0,0,1,1,1,0,Female
0,160,110,2,1,0,0,0,0,0,0,0,0,0,Male
0,163,108,4,1,0,0,0,0,0,0,0,0,0,Male
0,175,135,3,1,0,0,1,0,0,0,0,0,0,Male
0,175,151,3,1,0,0,1,1,0,0,0,0,0,Male
0,175,143,8,0,0,0,1,0,0,0,0,0,0,Male
1,160,140,16,0,1,0,1,1,0,1,0,0,0,Female
0,180,200,2,1,0,0,1,1,1,0,0,0,0,Male
0,174,145,4,1,0,0,1,0,0,0,0,0,0,male
0,175,159,3,1,0,0,1,1,0,0,0,0,0,Male
1,160,128,22,0,1,0,0,1,0,1,0,1,0,Female
0,170,140,7,1,0,0,1,1,1,0,0,0,0,Male
0,180,184,1,1,0,0,1,0,1,0,0,0,0,Male
1,170,168,16,0,0,0,1,1,0,1,1,1,0,Female
0,170,143,6,1,0,0,1,0,0,0,0,0,0,Male
0,161,138,3,0,0,0,1,0,0,0,0,0,0,Male
0,180,200,2,1,0,0,1,0,0,0,0,0,0,Male
0,180,184,1,1,0,0,1,0,1,0,0,0,0,Male
0,175,123,3,1,0,0,1,1,0,0,0,0,0,Male
0,170,136,3,1,0,0,1,0,0,0,0,0,0,Male
0,160,115,2,1,0,0,1,1,1,0,0,0,0,Male
0,181,130,3,1,0,0,1,0,0,0,0,0,0,Male
0,177,160,5,1,0,0,1,1,1,0,0,0,0,Male
0,176,159,3,1,0,0,1,0,0,0,0,0,0,Male
0,168,145,1,1,0,0,1,0,0,0,0,0,0,Male
0,168,145,1,1,0,0,1,0,1,0,0,0,0,Male
0,168,145,1,1,0,0,1,0,0,0,0,0,0,Male
0,170,130,3,1,0,0,1,0,1,0,0,0,0,Male
0,179,198,2,1,0,0,0,0,1,0,0,0,0,Male
0,167,117,3,1,0,0,1,1,1,0,0,0,0,Male
1,150,136,10,0,0,0,0,1,1,1,1,1,0,Female 
0,175,175,5,1,0,0,1,0,0,0,0,0,0,Male
1,157,150,20,0,1,0,1,1,0,1,0,1,0,Female
0,176,165,3,1,0,0,1,0,0,0,1,0,0,Male
0,180,209,4,1,0,0,1,1,0,0,0,0,0,Male
1,160,121,14,0,1,0,1,1,0,1,1,1,0,Female
1,154,99,12,0,1,0,1,1,0,1,0,1,0,Female
0,159,120,4,1,0,0,1,0,0,1,0,0,0,Male
0,186,184,1,1,0,0,1,0,0,0,0,0,0,Male
0,170,200,1,1,0,0,1,0,0,0,0,0,0,Male
0,168,150,3,1,0,0,1,0,1,0,0,0,0,Male
1,161,100,15,0,1,0,1,0,1,1,0,0,0,Female
0,171,132,2,1,0,0,1,0,1,0,0,0,0,Male
1,168,132,14,0,0,0,1,0,1,0,0,1,0,Female
0,184,174,1,1,0,0,1,0,1,0,0,0,0,MAle
0,180,171,5,1,0,0,1,0,1,0,0,0,0,Male
0,184,174,3,1,0,0,1,0,1,0,0,0,0,Male
0,176,147,1,0,0,0,1,0,0,0,0,0,0,Male
1,155,105,24,0,1,0,1,1,0,1,1,1,0,Female
0,165,110,5,1,0,0,1,0,1,0,0,0,0,Male
0,181,112,5,1,0,0,1,1,0,0,0,0,0,Male
0,176,123,4,1,0,0,1,0,0,0,0,0,0,Male
